subject,block,trial,mu1,mu2,choice,reward,RT
1,1,1,18.938,9.075,1,20.817,0.000
1,1,2,18.938,9.075,1,24.660,0.000
1,1,3,18.938,9.075,1,25.242,0.000
1,1,4,18.938,9.075,1,17.634,0.000
1,1,5,18.938,9.075,1,24.580,0.000
1,1,6,18.938,9.075,1,18.591,0.000
1,1,7,18.938,9.075,1,12.020,0.000
1,1,8,18.938,9.075,1,18.757,0.000
1,1,9,18.938,9.075,1,20.030,0.000
1,1,10,18.938,9.075,1,21.367,0.000
1,2,1,0.011,-11.556,1,-0.137,0.000
1,2,2,0.011,-11.556,2,-12.476,0.000
1,2,3,0.011,-11.556,1,0.519,0.000
1,2,4,0.011,-11.556,1,-4.901,0.000
1,2,5,0.011,-11.556,1,1.756,0.000
1,2,6,0.011,-11.556,1,3.495,0.000
1,2,7,0.011,-11.556,1,5.817,0.000
1,2,8,0.011,-11.556,1,3.004,0.000
1,2,9,0.011,-11.556,1,-2.285,0.000
1,2,10,0.011,-11.556,1,2.090,0.000
1,3,1,-12.255,8.053,1,-13.049,0.000
1,3,2,-12.255,8.053,2,4.642,0.000
1,3,3,-12.255,8.053,2,9.567,0.000
1,3,4,-12.255,8.053,2,7.933,0.000
1,3,5,-12.255,8.053,2,6.609,0.000
1,3,6,-12.255,8.053,2,7.399,0.000
1,3,7,-12.255,8.053,2,9.857,0.000
1,3,8,-12.255,8.053,2,10.326,0.000
1,3,9,-12.255,8.053,2,11.955,0.000
1,3,10,-12.255,8.053,2,2.797,0.000
1,4,1,3.018,6.603,1,-0.581,0.000
1,4,2,3.018,6.603,2,7.974,0.000
1,4,3,3.018,6.603,2,0.654,0.000
1,4,4,3.018,6.603,2,1.947,0.000
1,4,5,3.018,6.603,2,0.538,0.000
1,4,6,3.018,6.603,2,9.008,0.000
1,4,7,3.018,6.603,2,3.635,0.000
1,4,8,3.018,6.603,2,7.882,0.000
1,4,9,3.018,6.603,2,7.311,0.000
1,4,10,3.018,6.603,2,2.906,0.000
1,5,1,5.834,1.990,1,3.130,0.000
1,5,2,5.834,1.990,2,6.509,0.000
1,5,3,5.834,1.990,2,2.804,0.000
1,5,4,5.834,1.990,2,-0.270,0.000
1,5,5,5.834,1.990,1,8.765,0.000
1,5,6,5.834,1.990,1,1.212,0.000
1,5,7,5.834,1.990,1,1.731,0.000
1,5,8,5.834,1.990,1,13.930,0.000
1,5,9,5.834,1.990,1,2.734,0.000
1,5,10,5.834,1.990,1,6.477,0.000
1,6,1,1.314,2.186,1,4.120,0.000
1,6,2,1.314,2.186,2,4.153,0.000
1,6,3,1.314,2.186,2,6.454,0.000
1,6,4,1.314,2.186,2,1.727,0.000
1,6,5,1.314,2.186,2,5.528,0.000
1,6,6,1.314,2.186,2,4.473,0.000
1,6,7,1.314,2.186,2,4.408,0.000
1,6,8,1.314,2.186,2,0.377,0.000
1,6,9,1.314,2.186,2,1.403,0.000
1,6,10,1.314,2.186,2,3.545,0.000
1,7,1,10.527,4.507,1,7.481,0.000
1,7,2,10.527,4.507,1,16.460,0.000
1,7,3,10.527,4.507,1,15.154,0.000
1,7,4,10.527,4.507,1,14.623,0.000
1,7,5,10.527,4.507,1,17.197,0.000
1,7,6,10.527,4.507,1,11.360,0.000
1,7,7,10.527,4.507,1,5.313,0.000
1,7,8,10.527,4.507,1,9.217,0.000
1,7,9,10.527,4.507,1,15.507,0.000
1,7,10,10.527,4.507,1,10.599,0.000
1,8,1,-0.507,7.290,1,3.476,0.000
1,8,2,-0.507,7.290,2,10.430,0.000
1,8,3,-0.507,7.290,2,8.910,0.000
1,8,4,-0.507,7.290,2,10.604,0.000
1,8,5,-0.507,7.290,2,11.280,0.000
1,8,6,-0.507,7.290,2,2.036,0.000
1,8,7,-0.507,7.290,2,6.884,0.000
1,8,8,-0.507,7.290,2,4.760,0.000
1,8,9,-0.507,7.290,2,10.524,0.000
1,8,10,-0.507,7.290,2,14.099,0.000
1,9,1,-11.536,-7.169,1,-15.158,0.000
1,9,2,-11.536,-7.169,2,-11.956,0.000
1,9,3,-11.536,-7.169,2,-5.401,0.000
1,9,4,-11.536,-7.169,2,-3.745,0.000
1,9,5,-11.536,-7.169,2,-12.514,0.000
1,9,6,-11.536,-7.169,2,-10.940,0.000
1,9,7,-11.536,-7.169,2,-6.934,0.000
1,9,8,-11.536,-7.169,2,-8.723,0.000
1,9,9,-11.536,-7.169,2,-0.811,0.000
1,9,10,-11.536,-7.169,2,-9.324,0.000
1,10,1,6.498,-7.287,1,5.595,0.000
1,10,2,6.498,-7.287,2,-9.093,0.000
